Chops and Ribs,Terence,Washington,0
A Cut Above,Terence,Washington,0
Vietnam Restaurant,Terence,Washington,0
The Amber Lion,Terence,Washington,0
Bistro Bob,Terence,Washington,0
Wiener House,Terence,Washington,0
The Noodle Fiddler,Terence,Washington,0
China Palace,Terence,Washington,1
The Mockingbird,Terence,Washington,0
The Amber Cuisine,Terence,Washington,1
The Indian Smith,Terence,Washington,0
The Caramel Hog,Terence,Washington,0
Hofbrau Deluxe,Terence,Washington,1
The Magical Spices,Terence,Washington,1
Molinarinari,Terence,Washington,1
The River Blossom,Terence,Washington,1
Fluorescence,Terence,Washington,1
Chance,Terence,Washington,0
Estradanas,Terence,Washington,0
The Crown,Jerry,Mclaughlin,0
Bistro Bob,Jerry,Mclaughlin,0
China Palace,Jerry,Mclaughlin,0
The Caramel Hog,Jerry,Mclaughlin,0
Mary's Diner,Jerry,Mclaughlin,0
Bambino,Jerry,Mclaughlin,0
The Olive Port,Jerry,Mclaughlin,1
The Mockingbird,Jerry,Mclaughlin,0
The Court Bites,Jerry,Mclaughlin,1
Fangs,Jerry,Mclaughlin,1
Fargo,Jerry,Mclaughlin,1
The Amber Lion,Jerry,Mclaughlin,0
Wolfs,Jerry,Mclaughlin,1
The Crimson Horse,Jerry,Mclaughlin,0
The Amber Cuisine,Jerry,Mclaughlin,1
The Sugar Badger,Jerry,Mclaughlin,1
Chance,Jerry,Mclaughlin,0
Estradanas,Blanca,Caldwell,0
Aroma,Blanca,Caldwell,1
The Crimson Horse,Blanca,Caldwell,0
Big Daddy Barbeque,Blanca,Caldwell,0
Fargo,Blanca,Caldwell,1
The Mockingbird,Blanca,Caldwell,0
The Caramel Hog,Blanca,Caldwell,0
Mamoun's,Blanca,Caldwell,1
The River Blossom,Blanca,Caldwell,1
The Caviar Salmon,Blanca,Caldwell,0
Vietnam Restaurant,Blanca,Caldwell,0
Interlude,Blanca,Caldwell,1
Sapphire,Blanca,Caldwell,0
Wiener House,Blanca,Caldwell,0
Fluorescence,Blanca,Caldwell,1
Mary's Diner,Blanca,Caldwell,0
Chops and Ribs,Blanca,Caldwell,1
The Crown,Blanca,Caldwell,0
Bistro Bob,Blanca,Caldwell,0
Tranquility,Blanca,Caldwell,1
Wiener House,Beverly,Myers,0
Ranch House,Beverly,Myers,0
The Hot Oak,Beverly,Myers,0
The Mockingbird,Beverly,Myers,0
Trilogy,Beverly,Myers,1
Burgers and Fries,Beverly,Myers,0
Mary's Diner,Beverly,Myers,0
The Depot,Beverly,Myers,0
Starlight,Beverly,Myers,1
Jean's Place,Beverly,Myers,0
Fluorescence,Beverly,Myers,1
The Magical Spices,Beverly,Myers,1
Molinarinari,Beverly,Myers,0
The Court Bites,Beverly,Myers,1
The Caviar Salmon,Beverly,Myers,1
Hofbrau Deluxe,Beverly,Myers,0
A Cut Above,Beverly,Myers,1
The Amber Cuisine,Maxine,Stewart,1
Aroma,Maxine,Stewart,1
Vietnam Restaurant,Maxine,Stewart,0
Molinarinari,Maxine,Stewart,0
Burgers and Fries,Maxine,Stewart,0
The Crimson Horse,Maxine,Stewart,0
Interlude,Maxine,Stewart,1
The Amber Lion,Maxine,Stewart,0
Mamoun's,Maxine,Stewart,1
