1,Terence,Washington,Chops and Ribs,2.38,2014-11-02
2,Terence,Washington,A Cut Above,11.68,2014-11-06
3,Terence,Washington,Vietnam Restaurant,8.97,2014-11-28
4,Terence,Washington,The Amber Lion,6.28,2014-11-05
5,Terence,Washington,Bistro Bob,2.52,2014-11-10
6,Terence,Washington,Wiener House,1.1,2014-11-22
7,Terence,Washington,The Noodle Fiddler,9.8,2014-11-24
8,Terence,Washington,China Palace,7.17,2014-11-01
9,Terence,Washington,The Mockingbird,5.61,2014-11-08
10,Terence,Washington,The Amber Cuisine,13.18,2014-11-23
11,Terence,Washington,The Indian Smith,7.09,2014-11-19
12,Terence,Washington,The Caramel Hog,5.94,2014-11-20
13,Terence,Washington,Hofbrau Deluxe,9.2,2014-11-21
14,Terence,Washington,The Magical Spices,7.7,2014-11-11
15,Terence,Washington,Molinarinari,7.73,2014-11-13
16,Terence,Washington,The River Blossom,11.92,2014-11-16
17,Terence,Washington,Fluorescence,11.1,2014-11-30
18,Terence,Washington,Chance,0.37,2014-11-25
19,Terence,Washington,Estradanas,6.57,2014-11-04
20,Terence,Washington,The Sugar Badger,8.73,2014-11-18
21,Jerry,Mclaughlin,The Crown,5.86,2014-11-10
22,Jerry,Mclaughlin,Bistro Bob,4.08,2014-11-20
23,Jerry,Mclaughlin,China Palace,6.98,2014-11-21
24,Jerry,Mclaughlin,The Caramel Hog,1.56,2014-11-22
25,Jerry,Mclaughlin,Mary's Diner,3.83,2014-11-07
26,Jerry,Mclaughlin,Bambino,5.8,2014-11-02
27,Jerry,Mclaughlin,The Olive Port,5.08,2014-11-23
28,Jerry,Mclaughlin,The Mockingbird,8.09,2014-11-03
29,Jerry,Mclaughlin,The Court Bites,7.33,2014-11-06
30,Jerry,Mclaughlin,Fangs,10.29,2014-11-13
31,Jerry,Mclaughlin,Fargo,8.1,2014-11-11
32,Jerry,Mclaughlin,The Amber Lion,4.93,2014-11-30
33,Jerry,Mclaughlin,Wolfs,10.79,2014-11-15
34,Jerry,Mclaughlin,The Crimson Horse,5.78,2014-11-04
35,Jerry,Mclaughlin,The Amber Cuisine,12.91,2014-11-25
36,Jerry,Mclaughlin,The Sugar Badger,5.87,2014-11-12
37,Jerry,Mclaughlin,Chance,7.88,2014-11-29
38,Jerry,Mclaughlin,The Indian Smith,5.11,2014-11-05
39,Jerry,Mclaughlin,Aroma,8.43,2014-11-01
