1,Terence,Washington,Tranquility,12.52,2014-11-19
2,Terence,Washington,Fangs,9.1,2014-11-09
3,Terence,Washington,The Hot Oak,6.47,2014-11-21
4,Terence,Washington,Estradanas,7.44,2014-11-20
5,Terence,Washington,Aroma,7.9,2014-11-24
6,Terence,Washington,Wiener House,3.47,2014-11-29
7,Terence,Washington,The Depot,5.43,2014-11-02
8,Terence,Washington,The Crown,5.13,2014-11-14
9,Terence,Washington,The Indian Smith,7.73,2014-11-04
10,Terence,Washington,Bambino,6.13,2014-11-28
11,Terence,Washington,Nattos,13.24,2014-11-06
12,Terence,Washington,Fluorescence,12.91,2014-11-26
13,Terence,Washington,Big Daddy Barbeque,4.0,2014-11-07
14,Terence,Washington,The Amber Cuisine,12.21,2014-11-01
15,Terence,Washington,Mary's Diner,2.83,2014-11-10
16,Terence,Washington,Wolfs,10.24,2014-11-22
17,Terence,Washington,The Caviar Salmon,5.67,2014-11-12
18,Terence,Washington,A Cut Above,10.12,2014-11-18
19,Terence,Washington,Bistro Bob,3.52,2014-11-08
20,Terence,Washington,The Court Bites,8.54,2014-11-27
21,Jerry,Mclaughlin,Aroma,8.35,2014-11-20
22,Jerry,Mclaughlin,The Noodle Fiddler,6.88,2014-11-12
23,Jerry,Mclaughlin,Molinarinari,9.01,2014-11-01
24,Jerry,Mclaughlin,The Olive Port,6.6,2014-11-03
25,Jerry,Mclaughlin,The Mad Oak,12.34,2014-11-10
26,Jerry,Mclaughlin,The Court Bites,8.9,2014-11-21
27,Jerry,Mclaughlin,Fargo,9.68,2014-11-02
28,Jerry,Mclaughlin,Ranch House,8.61,2014-11-26
29,Jerry,Mclaughlin,Fangs,8.16,2014-11-05
30,Jerry,Mclaughlin,Estradanas,6.85,2014-11-08
31,Jerry,Mclaughlin,Chops and Ribs,4.53,2014-11-18
32,Jerry,Mclaughlin,Hofbrau Deluxe,8.9,2014-11-25
33,Jerry,Mclaughlin,The Depot,6.62,2014-11-13
34,Jerry,Mclaughlin,Sapphire,5.39,2014-11-06
35,Jerry,Mclaughlin,The Cool Pizzeria,5.98,2014-11-28
36,Jerry,Mclaughlin,Fluorescence,12.82,2014-11-27
37,Jerry,Mclaughlin,Midnight,11.89,2014-11-17
38,Jerry,Mclaughlin,The Caviar Salmon,5.78,2014-11-07
39,Jerry,Mclaughlin,Tranquility,14.31,2014-11-16
40,Jerry,Mclaughlin,Bistro Bob,3.7,2014-11-14
41,Blanca,Caldwell,Trilogy,6.62,2014-11-05
42,Blanca,Caldwell,Midnight,13.72,2014-11-19
43,Blanca,Caldwell,Fluorescence,14.4,2014-11-25
44,Blanca,Caldwell,Mamoun's,10.66,2014-11-12
45,Blanca,Caldwell,Vietnam Restaurant,10.39,2014-11-04
46,Blanca,Caldwell,The Depot,7.03,2014-11-03
47,Blanca,Caldwell,Jean's Place,9.44,2014-11-27
48,Blanca,Caldwell,Fangs,10.14,2014-11-10
49,Blanca,Caldwell,Burgers and Fries,4.0,2014-11-28
50,Blanca,Caldwell,Mary's Diner,1.29,2014-11-07
51,Blanca,Caldwell,Bambino,5.32,2014-11-15
52,Blanca,Caldwell,Sapphire,4.36,2014-11-02
53,Blanca,Caldwell,Aroma,10.46,2014-11-20
54,Blanca,Caldwell,The Amber Cuisine,12.33,2014-11-11
55,Blanca,Caldwell,A Cut Above,9.58,2014-11-24
56,Blanca,Caldwell,The Crimson Horse,5.62,2014-11-30
